PC12346
"DisplayName","DisplayVersion","InstallDate","Maintainer"
,,,"-"
"64 Bit HP CIO Components Installer","22.2.1","20241017","-"
"7-Zip 24.08 (x64)","24.08",,"-"
"Application Verifier x64 External Package (DesktopEditions)","10.1.22621.3233","20241017","-"
"Application Verifier x64 External Package (OnecoreUAP)","10.1.22621.3233","20241017","-"
"Aspire.Dashboard.Sdk.win-x64 (x64)","8.0.0.0","20241017","-"
"Aspire.Hosting (x64)","8.0.0.0","20241017","-"
"Aspire.Hosting.Orchestration.win-x64 (x64)","8.0.0.0","20241017","-"
"Aspire.Hosting.Sdk (x64)","8.0.0.0","20241017","-"
"Aspire.ProjectTemplates (x64)","8.0.0.0","20241017","-"
"Cisco AnyConnect Secure Mobility Client","4.10.06079","20241017","-"
"Cisco AnyConnect Secure Mobility Client ","4.10.06079",,"-"
"Cisco AnyConnect Start Before Login Module","4.10.06079","20241017","-"
"ClickOnce Bootstrapper Package for Microsoft .NET Framework","4.8.09037","20241017","-"
"DiagnosticsHub_CollectionService","17.10.34627","20241017","-"
"Entity Framework 6.2.0 Tools  for Visual Studio 2022","6.2.0.0","20241017","-"
"Free Pascal 3.2.2",,"20241017","-"
"GIMP 2.10.36","2.10.36","20241017","chocolatey"
"Git","2.45.2","20241017","chocolatey"
"icecap_collection_neutral","17.10.34804","20241017","chocolatey"
"icecap_collection_x64","17.10.34804","20241017","chocolatey"
"icecap_collectionresources","17.10.34804","20241017","chocolatey"
"icecap_collectionresourcesx64","17.10.34804","20241017","chocolatey"
"IIS 10.0 Express","10.0.08608","20241017","chocolatey"
"IIS Express Application Compatibility Database for x64",,,"chocolatey"
"IIS Express Application Compatibility Database for x86",,,"chocolatey"
"Inkscape","1.3.2","20241017","chocolatey"
"IntelliTraceProfilerProxy","15.0.21225.01","20241017","chocolatey"
"KeePassXC","2.7.6","20241017","chocolatey"
"Kits Configuration Installer","10.1.22621.3233","20241017","chocolatey"
"Kumulatives Microsoft .NET Framework Intellisense Pack f?r Visual Studio (Deutsch)","4.8.09037","20241017","chocolatey"
"Microsoft .NET 8.0 Templates 8.0.302 (x64)","32.9.36482","20241017","chocolatey"
"Microsoft .NET AppHost Pack - 8.0.6 (x64)","64.24.15199","20241017","chocolatey"
"Microsoft .NET AppHost Pack - 8.0.6 (x64_arm64)","64.24.15199","20241017","chocolatey"
"Microsoft .NET AppHost Pack - 8.0.6 (x64_x86)","64.24.15199","20241017","chocolatey"
"Microsoft .NET Framework 4.7.1 Doc Redirected Targeting Pack (ENU)","4.7.02558","20241017","chocolatey"
"Microsoft .NET Framework 4.7.1 Targeting Pack","4.7.02558","20241017","chocolatey"
"Microsoft .NET Framework 4.7.2 Targeting Pack","4.7.03062","20241017","chocolatey"
"Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)","4.7.03062","20241017","chocolatey"
"Microsoft .NET Framework 4.8 SDK","4.8.03928","20241017","chocolatey"
"Microsoft .NET Framework 4.8 SDK (Deutsch)","4.8.03761","20241017","chocolatey"
"Microsoft .NET Framework 4.8 Targeting Pack","4.8.03761","20241017","chocolatey"
"Microsoft .NET Framework 4.8 Targeting Pack (ENU)","4.8.03761","20241017","chocolatey"
"Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)","4.8.09037","20241017","chocolatey"
"Microsoft .NET Host - 8.0.6 (x64)","64.24.15199","20241017","chocolatey"
"Microsoft .NET Host - 8.0.6 (x86)","64.24.15199","20241017","chocolatey"
"Microsoft .NET Host FX Resolver - 8.0.6 (x64)","64.24.15199","20241017","chocolatey"
"Microsoft .NET Host FX Resolver - 8.0.6 (x86)","64.24.15199","20241017","chocolatey"
"Microsoft .NET Runtime - 8.0.6 (x64)","64.24.15199","20241017","chocolatey"
"Microsoft .NET Runtime - 8.0.6 (x86)","64.24.15199","20241017","chocolatey"
"Microsoft .NET SDK 8.0.302 (x64) from Visual Studio","8.3.224.28002","20241017","chocolatey"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","20241017","chocolatey"
"Microsoft .NET Targeting Pack - 8.0.6 (x64)","64.24.15199","20241017","chocolatey"
"Microsoft .NET Targeting Pack - 8.0.6 (x86)","64.24.15199","20241017","chocolatey"
"Microsoft .NET Toolset 8.0.302 (x64)","32.8.36482","20241017","chocolatey"
"Microsoft ASP.NET Core 8.0.6 Shared Framework (x64)","8.0.6.24269","20241017","chocolatey"
"Microsoft ASP.NET Core 8.0.6 Shared Framework (x86)","8.0.6.24269","20241017","chocolatey"
"Microsoft ASP.NET Core 8.0.6 Targeting Pack (x64)","8.0.6.24269","20241017","chocolatey"
"Microsoft ASP.NET Core 8.0.6 Targeting Pack (x86)","8.0.6.24269","20241017","chocolatey"
"Microsoft ASP.NET Core Module for IIS Express","12.2.18292.0","20241017","chocolatey"
"Microsoft ASP.NET Core Module V2 for IIS Express","17.0.22116.0","20241017","chocolatey"
"Microsoft ASP.NET Diagnostic Pack for Visual Studio","17.10.341.11210","20241017","chocolatey"
"Microsoft Azure Authoring Tools - v2.9.7","2.9.8999.45","20241017","chocolatey"
"Microsoft Azure Compute Emulator - v2.9.7","2.9.8999.43","17.10.2024","chocolatey"
"Microsoft Azure Libraries for .NET ? v2.9","3.0.2310.23","20241017","chocolatey"
"Microsoft Azure PowerShell - April 2018","5.7.0.18831","20241017","chocolatey"
"Microsoft Command Line Utilities 15 for SQL Server","15.0.1300.359","20241017","chocolatey"
"Microsoft Edge","129.0.2792.89","20241016","chocolatey"
"Microsoft Edge Update","1.3.195.25",,"chocolatey"
"Microsoft Edge WebView2 Runtime","129.0.2792.89","20241016","chocolatey"
"Microsoft NetStandard SDK","15.0.51105","20241017","chocolatey"
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","20241017","chocolatey"
"Microsoft Office LTSC Professional Plus 2021 - de-de","16.0.14332.20791",,"chocolatey"
